phrase,Response,
hello,Hi There!
hello,Hiya
hiya,hello nice to meet you!
hi,hey! How can I help?
hi.hello
how is it going, Everything is good. what about you?
what's your favorite color,I don't have a favorite color but I like all the colors!
Tell me a joke,Why did the scarecrow win an award? Because he was outstanding in his field!
what's up,Not much! Just here to chat with you. What about you?
I'm fine, Good to know, is there anything I can help you with?
I'm ok, Good to know your ok, is there anything you want to ask me?
I am good, glad to know ur well. do u need any help?
I'm sad,Thanks for sharing. That not good to hear!
how are you,I'm just a bot! But I'm doing great! How about you?
thank you,no worries always happy to help
thanks,my pleasure
what's your name,"I'm just your friendly chatbot!"



